 Population by sex and age group
 of 5 years of age difference, starting
 from 0-4, 5-9 and so on 

 Male		Female 		Percentage /
7346088		6996434		8.53
8022971		7842987		9.43
9166213		9090200		10.85
9207539		7492192		9.93
7120179		7641841		8.78
6257653		7529994		8.20
6282765		7298515		8.07
5930405		6447487		7.36
5331105		5374319		6.36
4700677		4325242		5.37
4075419		4092363		4.86
3266073		3204705		3.85
2672121		2306585		2.96
2014242		1800893		2.27
1323054		1152981		1.47
771118		654924		0.85
377491		380028		0.45
178719		203278		0.23
82178		103285		0.11
63988		91745		0.09
